conf,stanza,setting,setting_status,setting_recommended,setting_notes
inputs.conf,*,host,low,,
inputs.conf,*,crcSalt,low,,
inputs.conf,*,disabled,low,,
inputs.conf,*,host,low,,
inputs.conf,*,move_policy,low,,
inputs.conf,*,sourcetype,low,,
inputs.conf,*,disabled,low,,
inputs.conf,*,followTail,low,,
inputs.conf,*,index,low,,
inputs.conf,*,blacklist,low,,
inputs.conf,*,interval,low,,
inputs.conf,*,passAuth,low,,
inputs.conf,*,source,low,,
inputs.conf,monitor://*,whitelist,low,,
inputs.conf,monitor://*,blacklist,low,,
inputs.conf,fschange:*,*,severe,,functionality depreciated
inputs.conf,*,followTail,low,,
inputs.conf,*,ignoreOlderThan,low,,
inputs.conf,*,_INDEX_AND_FORWARD_ROUTING,check,,
inputs.conf,*,evt_dc_name,low,,"should really be only under WinEventLog://*, but windows app sets this at [default]"
inputs.conf,*,evt_dns_name,low,,"should really be only under WinEventLog://*, but windows app sets this at [default]"
inputs.conf,WinEventLog://*,blacklist*,low,,
inputs.conf,WinEventLog://*,whitelist*,low,,
inputs.conf,WinEventLog://*,evt_resolve_ad_obj,low,,
inputs.conf,WinEventLog://*,current_only,low,,
inputs.conf,*,connection_host,low,,
inputs.conf,perfmon://*,object,low,,
inputs.conf,perfmon://*,counters,low,,
inputs.conf,perfmon://*,index,low,,
inputs.conf,perfmon://*,instances,low,,
inputs.conf,perfmon://*,interval,low,,
inputs.conf,perfmon://*,useEnglishOnly,low,,
props.conf,*,KV_MODE,low,,
props.conf,*,DATETIME_CONFIG,check,,
props.conf,*,SEGMENTATION*,check,,
props.conf,*,REPORT-*,low,,
props.conf,*,LOOKUP*,low,,
props.conf,*,lookup*,low,,
props.conf,*,TRANSFORMS-*,low,,
props.conf,*,EXTRACT-*,low,,
props.conf,*,EVAL-*,low,,
props.conf,*,LINE_BREAKER*,low,yes,
props.conf,*,BREAK_ONLY_BEFORE*,low,,
props.conf,*,MUST_BREAK_AFTER,low,,
props.conf,*,SHOULD_LINEMERGE,low,yes,
props.conf,*,MAX_TIMESTAMP_LOOKAHEAD,low,yes,
props.conf,*,TIME_PREFIX,low,yes,
props.conf,*,TIME_FORMAT,low,yes,
props.conf,*,TRUNCATE,low,yes,
props.conf,*,TZ,low,,
props.conf,*,NO_BINARY_CHECK,low,,
props.conf,*,pulldown_type,low,,
props.conf,*,sourcetype,low,,
props.conf,*,FIELDALIAS-*,low,,
props.conf,*,ANNOTATE_PUNCT,low,,
props.conf,*,AUTO_KV_JSON,low,,
props.conf,*,CHARSET,low,,
props.conf,*,CHECK_FOR_HEADER,low,,
props.conf,*,FIELD_DELIMITER,low,,
props.conf,*,HEADER_FIELD_DELIMITER,low,,
props.conf,*,INDEXED_EXTRACTIONS,low,,
transforms.conf,*,filename,low,,
transforms.conf,*,max_matches,low,,
transforms.conf,*,min_matches,low,,
transforms.conf,*,default_match,low,,
transforms.conf,*,match_type,low,,
transforms.conf,*,case_sensitive_match,low,,
transforms.conf,*,external_type,low,,
transforms.conf,*,time_field,low,,
transforms.conf,*,time_format,low,,
transforms.conf,*,DEST_KEY,low,,
transforms.conf,*,FORMAT,low,,
transforms.conf,*,REGEX,low,,
transforms.conf,*,DELIMS,low,,
